Time,x,Y,Z
2016-05-21 00:16:08.089430,48020,1640,3046.67
2016-05-21 00:16:08.097560,48020,1640,3046.67
2016-05-21 00:16:08.105691,48020,1640,3046.67
2016-05-21 00:16:08.113821,48006.67,1640,3046.67
2016-05-21 00:16:08.121951,48006.67,1633.33,3053.33
2016-05-21 00:16:08.130081,48006.67,1633.33,3053.33
2016-05-21 00:16:08.138211,48000,1633.33,3053.33
2016-05-21 00:16:08.146341,48000,1633.33,3053.33
2016-05-21 00:16:08.154471,47993.33,1633.33,3046.67
2016-05-21 00:16:08.162601,47993.33,1633.33,3046.67
2016-05-21 00:16:08.170731,47993.33,1633.33,3046.67
2016-05-21 00:16:08.178861,47993.33,1633.33,3046.67
2016-05-21 00:16:08.186991,47993.33,1633.33,3046.67
2016-05-21 00:16:08.195121,47986.67,1640,3046.67
2016-05-21 00:16:08.203252,47993.33,1633.33,3046.67
2016-05-21 00:16:08.211382,47993.33,1633.33,3046.67
2016-05-21 00:16:08.219512,47986.67,1633.33,3046.67
2016-05-21 00:16:08.227642,47986.67,1633.33,3046.67
2016-05-21 00:16:08.235772,47993.33,1633.33,3040
2016-05-21 00:16:08.243902,47993.33,1633.33,3040
2016-05-21 00:16:08.252032,47993.33,1633.33,3040
2016-05-21 00:16:08.260162,47993.33,1633.33,3040
2016-05-21 00:16:08.268292,48000,1633.33,3040
2016-05-21 00:16:08.276422,48000,1640,3040
2016-05-21 00:16:08.284552,48000,1640,3040
2016-05-21 00:16:08.292682,48000,1633.33,3040
2016-05-21 00:16:08.300813,48006.67,1633.33,3040
2016-05-21 00:16:08.308943,48006.67,1640,3040
2016-05-21 00:16:08.317073,48006.67,1640,3040
2016-05-21 00:16:08.325203,48020,1640,3040
2016-05-21 00:16:08.333333,48020,1640,3040
2016-05-21 00:16:08.341463,48020,1640,3040
2016-05-21 00:16:08.349593,48020,1640,3040
2016-05-21 00:16:08.357723,48020,1640,3040
2016-05-21 00:16:08.365853,48020,1640,3040
2016-05-21 00:16:08.373983,48020,1640,3040
2016-05-21 00:16:08.382113,48026.67,1640,3046.67
2016-05-21 00:16:08.390243,48026.67,1640,3046.67
2016-05-21 00:16:08.398373,48026.67,1640,3040
2016-05-21 00:16:08.406504,48026.67,1640,3046.67
2016-05-21 00:16:08.414634,48026.67,1640,3046.67
2016-05-21 00:16:08.422764,48020,1640,3046.67
2016-05-21 00:16:08.430894,48020,1640,3046.67
2016-05-21 00:16:08.439024,48020,1633.33,3046.67
2016-05-21 00:16:08.447154,48006.67,1633.33,3046.67
2016-05-21 00:16:08.455284,48006.67,1640,3046.67
2016-05-21 00:16:08.463414,48006.67,1633.33,3046.67
2016-05-21 00:16:08.471544,48000,1633.33,3046.67
2016-05-21 00:16:08.479674,48000,1633.33,3046.67
2016-05-21 00:16:08.487804,48000,1633.33,3046.67
2016-05-21 00:16:08.495934,48000,1633.33,3046.67
2016-05-21 00:16:08.504065,47993.33,1633.33,3046.67
2016-05-21 00:16:08.512195,47993.33,1633.33,3046.67
2016-05-21 00:16:08.520325,47993.33,1633.33,3046.67
2016-05-21 00:16:08.528455,47993.33,1633.33,3046.67
2016-05-21 00:16:08.536585,47986.67,1640,3046.67
2016-05-21 00:16:08.544715,47986.67,1633.33,3046.67
2016-05-21 00:16:08.552845,47986.67,1633.33,3046.67
2016-05-21 00:16:08.560975,47986.67,1633.33,3046.67
2016-05-21 00:16:08.569105,47986.67,1640,3040
2016-05-21 00:16:08.577235,47986.67,1640,3040
2016-05-21 00:16:08.585365,47993.33,1633.33,3046.67
2016-05-21 00:16:08.593495,47993.33,1633.33,3046.67
2016-05-21 00:16:08.601626,48000,1640,3040
2016-05-21 00:16:08.609756,48000,1640,3040
2016-05-21 00:16:08.617886,48000,1640,3040
2016-05-21 00:16:08.626016,48000,1640,3040
2016-05-21 00:16:08.634146,48006.67,1640,3040
2016-05-21 00:16:08.642276,48006.67,1640,3040
2016-05-21 00:16:08.650406,48020,1640,3040
2016-05-21 00:16:08.658536,48020,1640,3040
2016-05-21 00:16:08.666666,48020,1640,3040
2016-05-21 00:16:08.674796,48026.67,1640,3040
2016-05-21 00:16:08.682926,48026.67,1640,3040
2016-05-21 00:16:08.691056,48026.67,1640,3040
2016-05-21 00:16:08.699186,48026.67,1640,3040
2016-05-21 00:16:08.707317,48026.67,1640,3040
2016-05-21 00:16:08.715447,48026.67,1640,3040
2016-05-21 00:16:08.723577,48020,1640,3046.67
2016-05-21 00:16:08.731707,48020,1640,3046.67
2016-05-21 00:16:08.739837,48020,1640,3046.67
2016-05-21 00:16:08.747967,48020,1640,3046.67
2016-05-21 00:16:08.756097,48020,1640,3046.67
2016-05-21 00:16:08.764227,48020,1640,3046.67
2016-05-21 00:16:08.772357,48006.67,1640,3046.67
2016-05-21 00:16:08.780487,48006.67,1633.33,3046.67
2016-05-21 00:16:08.788617,48000,1633.33,3046.67
2016-05-21 00:16:08.796747,48000,1633.33,3046.67
2016-05-21 00:16:08.804878,48000,1633.33,3046.67
2016-05-21 00:16:08.813008,48000,1633.33,3046.67
2016-05-21 00:16:08.821138,47993.33,1633.33,3046.67
2016-05-21 00:16:08.829268,47986.67,1633.33,3046.67
2016-05-21 00:16:08.837398,47986.67,1633.33,3046.67
2016-05-21 00:16:08.845528,47986.67,1633.33,3046.67
2016-05-21 00:16:08.853658,47986.67,1633.33,3046.67
2016-05-21 00:16:08.861788,47986.67,1633.33,3046.67
2016-05-21 00:16:08.869918,47986.67,1633.33,3046.67
2016-05-21 00:16:08.878048,47986.67,1633.33,3046.67
2016-05-21 00:16:08.886178,47993.33,1640,3046.67
2016-05-21 00:16:08.894308,47993.33,1640,3040
2016-05-21 00:16:08.902439,47993.33,1640,3040
2016-05-21 00:16:08.910569,47993.33,1640,3040
2016-05-21 00:16:08.918699,48000,1640,3040
2016-05-21 00:16:08.926829,48000,1633.33,3040
2016-05-21 00:16:08.934959,48006.67,1633.33,3040
2016-05-21 00:16:08.943089,48006.67,1640,3040
2016-05-21 00:16:08.951219,48000,1640,3040
2016-05-21 00:16:08.959349,48006.67,1633.33,3040
2016-05-21 00:16:08.967479,48006.67,1633.33,3040
2016-05-21 00:16:08.975609,48006.67,1640,3040
2016-05-21 00:16:08.983739,48020,1640,3040
2016-05-21 00:16:08.991869,48020,1640,3040
2016-05-21 00:16:10.000000,48020,1640,3040
2016-05-21 00:16:10.008130,48020,1640,3040
2016-05-21 00:16:10.016260,48020,1640,3046.67
2016-05-21 00:16:10.024390,48020,1640,3046.67
2016-05-21 00:16:10.032520,48026.67,1640,3040
2016-05-21 00:16:10.040650,48026.67,1640,3040
2016-05-21 00:16:10.048780,48026.67,1633.33,3046.67
2016-05-21 00:16:10.056910,48026.67,1633.33,3046.67
2016-05-21 00:16:10.065040,48020,1633.33,3046.67
2016-05-21 00:16:10.073170,48020,1633.33,3046.67
2016-05-21 00:16:10.081300,48020,1640,3046.67
2016-05-21 00:16:10.089430,48006.67,1640,3046.67
2016-05-21 00:16:10.097560,48006.67,1633.33,3046.67
2016-05-21 00:16:10.105691,48006.67,1633.33,3046.67
2016-05-21 00:16:10.113821,48000,1633.33,3046.67
2016-05-21 00:16:10.121951,48000,1633.33,3046.67
2016-05-21 00:16:10.130081,47993.33,1640,3046.67
2016-05-21 00:16:10.138211,47993.33,1633.33,3046.67
2016-05-21 00:16:10.146341,47993.33,1633.33,3046.67
2016-05-21 00:16:10.154471,47993.33,1633.33,3046.67
2016-05-21 00:16:10.162601,47986.67,1633.33,3046.67
2016-05-21 00:16:10.170731,47986.67,1633.33,3046.67
2016-05-21 00:16:10.178861,47986.67,1633.33,3046.67
2016-05-21 00:16:10.186991,47986.67,1633.33,3046.67
2016-05-21 00:16:10.195121,47986.67,1633.33,3046.67
2016-05-21 00:16:10.203252,47986.67,1640,3046.67
2016-05-21 00:16:10.211382,47993.33,1633.33,3046.67
2016-05-21 00:16:10.219512,47993.33,1633.33,3040
2016-05-21 00:16:10.227642,47993.33,1633.33,3040
2016-05-21 00:16:10.235772,47993.33,1633.33,3040
2016-05-21 00:16:10.243902,48000,1640,3040
2016-05-21 00:16:10.252032,48000,1640,3040
2016-05-21 00:16:10.260162,48000,1640,3040
